nume_actiune,timestamp
adauga_agentie_imobiliara,2026-06-04T22:31:49.967702069
adauga_agentie_imobiliara,2026-06-04T22:31:50.018721052
inregistreaza_agent_imobiliar,2026-06-04T22:31:50.020663443
inregistreaza_agent_imobiliar,2026-06-04T22:31:50.022474411
inregistreaza_agent_imobiliar,2026-06-04T22:31:50.023475695
inregistreaza_client,2026-06-04T22:31:50.024755032
inregistreaza_client,2026-06-04T22:31:50.027324242
inregistreaza_client,2026-06-04T22:31:50.028534283
adauga_proprietate,2026-06-04T22:31:50.029663314
adauga_proprietate,2026-06-04T22:31:50.035934382
adauga_proprietate,2026-06-04T22:31:50.038079640
adauga_proprietate,2026-06-04T22:31:50.040063240
adauga_anunt,2026-06-04T22:31:50.042277532
adauga_anunt,2026-06-04T22:31:50.043919545
adauga_anunt,2026-06-04T22:31:50.044982111
adauga_anunt,2026-06-04T22:31:50.046207584
programeaza_vizionare,2026-06-04T22:31:50.047841504
programeaza_vizionare,2026-06-04T22:31:50.050061679
programeaza_vizionare,2026-06-04T22:31:50.051610226
incheie_contract,2026-06-04T22:31:50.053181285
incheie_contract,2026-06-04T22:31:50.056310828
adauga_proprietate_favorite,2026-06-04T22:31:50.059553941
adauga_proprietate_favorite,2026-06-04T22:31:50.062820497
adauga_proprietate_favorite,2026-06-04T22:31:50.064002142
adauga_proprietate_favorite,2026-06-04T22:31:50.065220605
adauga_agentie_imobiliara,2026-06-04T22:31:50.066623429
inregistreaza_agent_imobiliar,2026-06-04T22:31:50.067698978
inregistreaza_client,2026-06-04T22:31:50.068801909
adauga_proprietate,2026-06-04T22:31:50.070044156
adauga_anunt,2026-06-04T22:31:50.071597946
programeaza_vizionare,2026-06-04T22:31:50.072523515
schimba_status_vizionare,2026-06-04T22:31:50.073558017
incheie_contract,2026-06-04T22:31:50.074686150
adauga_proprietate_favorite,2026-06-04T22:31:50.076412234
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T22:31:50.077784120
adauga_agentie_imobiliara,2026-06-04T22:48:11.768812557
adauga_agentie_imobiliara,2026-06-04T22:48:11.786191218
inregistreaza_agent_imobiliar,2026-06-04T22:48:11.786591738
inregistreaza_agent_imobiliar,2026-06-04T22:48:11.787103319
inregistreaza_agent_imobiliar,2026-06-04T22:48:11.787471533
inregistreaza_client,2026-06-04T22:48:11.787856749
inregistreaza_client,2026-06-04T22:48:11.788726493
inregistreaza_client,2026-06-04T22:48:11.789089728
adauga_proprietate,2026-06-04T22:48:11.789513006
