nume_actiune,timestamp
adauga_agentie_imobiliara,2026-06-02T19:09:58.918346213
adauga_agentie_imobiliara,2026-06-02T19:09:58.936258946
inregistreaza_agent_imobiliar,2026-06-02T19:09:58.936835889
inregistreaza_agent_imobiliar,2026-06-02T19:09:58.937474684
inregistreaza_agent_imobiliar,2026-06-02T19:09:58.937933682
inregistreaza_client,2026-06-02T19:09:58.938304222
inregistreaza_client,2026-06-02T19:09:58.939085316
inregistreaza_client,2026-06-02T19:09:58.939459354
adauga_proprietate,2026-06-02T19:09:58.939847483
adauga_proprietate,2026-06-02T19:09:58.942946677
adauga_proprietate,2026-06-02T19:09:58.943970379
adauga_proprietate,2026-06-02T19:09:58.944783676
adauga_anunt,2026-06-02T19:09:58.945612484
adauga_anunt,2026-06-02T19:09:58.946370744
adauga_anunt,2026-06-02T19:09:58.946929274
adauga_anunt,2026-06-02T19:09:58.947521231
programeaza_vizionare,2026-06-02T19:09:58.948166043
programeaza_vizionare,2026-06-02T19:09:58.948940353
programeaza_vizionare,2026-06-02T19:09:58.949627558
incheie_contract,2026-06-02T19:09:58.950300975
incheie_contract,2026-06-02T19:09:58.951733153
adauga_proprietate_favorite,2026-06-02T19:09:58.953528605
adauga_proprietate_favorite,2026-06-02T19:09:58.955452185
adauga_proprietate_favorite,2026-06-02T19:09:58.956133681
adauga_proprietate_favorite,2026-06-02T19:09:58.956758805
adauga_agentie_imobiliara,2026-06-02T19:09:58.957799400
inregistreaza_agent_imobiliar,2026-06-02T19:09:58.958361263
inregistreaza_client,2026-06-02T19:09:58.958847567
adauga_proprietate,2026-06-02T19:09:58.959429286
adauga_anunt,2026-06-02T19:09:58.960043305
programeaza_vizionare,2026-06-02T19:09:58.960575888
schimba_status_vizionare,2026-06-02T19:09:58.961242385
incheie_contract,2026-06-02T19:09:58.962015483
adauga_proprietate_favorite,2026-06-02T19:09:58.962677713
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-02T19:09:58.963157436
adauga_agentie_imobiliara,2026-06-02T19:36:57.043138980
adauga_agentie_imobiliara,2026-06-02T19:36:57.059024759
inregistreaza_agent_imobiliar,2026-06-02T19:36:57.059570089
inregistreaza_agent_imobiliar,2026-06-02T19:36:57.060291827
inregistreaza_agent_imobiliar,2026-06-02T19:36:57.060756361
inregistreaza_client,2026-06-02T19:36:57.061263258
inregistreaza_client,2026-06-02T19:36:57.062209735
inregistreaza_client,2026-06-02T19:36:57.062560416
adauga_proprietate,2026-06-02T19:36:57.062983079
adauga_proprietate,2026-06-02T19:36:57.065859746
adauga_proprietate,2026-06-02T19:36:57.066722625
adauga_proprietate,2026-06-02T19:36:57.067606123
adauga_anunt,2026-06-02T19:36:57.068475676
adauga_anunt,2026-06-02T19:36:57.069207467
adauga_anunt,2026-06-02T19:36:57.069867869
adauga_anunt,2026-06-02T19:36:57.070456127
programeaza_vizionare,2026-06-02T19:36:57.071080165
programeaza_vizionare,2026-06-02T19:36:57.071867104
programeaza_vizionare,2026-06-02T19:36:57.073516970
incheie_contract,2026-06-02T19:36:57.074091569
incheie_contract,2026-06-02T19:36:57.075359305
adauga_proprietate_favorite,2026-06-02T19:36:57.077238472
adauga_proprietate_favorite,2026-06-02T19:36:57.079682513
adauga_proprietate_favorite,2026-06-02T19:36:57.080335636
adauga_proprietate_favorite,2026-06-02T19:36:57.081022641
adauga_agentie_imobiliara,2026-06-02T19:36:57.081768803
inregistreaza_agent_imobiliar,2026-06-02T19:36:57.082319074
inregistreaza_client,2026-06-02T19:36:57.082794390
adauga_proprietate,2026-06-02T19:36:57.083392362
adauga_anunt,2026-06-02T19:36:57.084177455
programeaza_vizionare,2026-06-02T19:36:57.084863302
schimba_status_vizionare,2026-06-02T19:36:57.085503430
incheie_contract,2026-06-02T19:36:57.086269979
adauga_proprietate_favorite,2026-06-02T19:36:57.087185673
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-02T19:36:57.087823832
